Trials,Cost,PROFIT,Win or Lose
4 spins -> mine,-20,0,L
9 spins -> mine,-5,0,L
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
9 spins -> mine,-5,0,L
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
Success,0,15,W
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
8 spins -> mine,-10,0,L
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
6 spins -> mine,-15,0,L
4 spins -> mine,-20,0,L
Success,0,5,W
6 spins -> mine,-15,0,L
Success,0,5,W
8 spins -> mine,-10,0,L
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
Success,0,1,W
4 spins -> mine,-20,0,L
6 spins -> mine,-15,0,L
4 spins -> mine,-20,0,L
6 spins -> mine,-15,0,L
4 spins -> mine,-20,0,L
6 spins -> mine,-15,0,L
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
6 spins -> mine,-15,0,L
4 spins -> mine,-20,0,L
6 spins -> mine,-15,0,L
6 spins -> mine,-15,0,L
6 spins -> mine,-15,0,L
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
Success,0,1,W
9 spins -> mine,-5,0,L
Success,0,15,W
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
Success,0,5,W
4 spins -> mine,-20,0,L
4 spins -> mine,-20,0,L
9 spins -> mine,-5,0,L
6 spins -> mine,-15,0,L
